highway,exp_km_calc,Buraco,Drenagem,Faixa Central,Faixa Lateral,Placa,Remendo,Rocada,Trinca
282,27.0,4,0,20,20,5,3,20,5
282,28.0,1,2,20,20,11,3,20,3
282,29.0,2,10,20,20,12,1,20,2
282,30.0,1,14,20,20,6,5,20,2
282,31.0,2,19,19,19,3,1,19,0
282,32.0,4,17,20,20,9,4,20,3
282,33.0,6,9,20,20,9,7,20,5
282,34.0,7,4,20,20,7,5,20,1
282,35.0,2,9,20,20,6,6,20,4
282,36.0,2,21,20,20,6,0,20,1
282,37.0,5,20,20,20,8,2,20,0
282,38.0,0,7,5,5,2,0,5,0
